card_a,card_b,role
Haunted Mire,Woodland Chasm,identical_text
Geothermal Bog,Sulfurous Mire,identical_text
Rimewood Falls,Tangled Islet,identical_text
Arctic Treeline,Radiant Grove,identical_text
Highland Forest,Wooded Ridgeline,identical_text
Alpine Meadow,Sacred Peaks,identical_text
Contaminated Aquifer,Ice Tunnel,identical_text
Molten Tributary,Volatile Fjord,identical_text
Snowfield Sinkhole,Sunlit Marsh,identical_text
Glacial Floodplain,Idyllic Beachfront,identical_text
Collector Ouphe,Null Rod,identical_text
Null Rod,Stony Silence,identical_text
Frogmite,Myr Enforcer,identical_text
Memory Guardian,Qumulox,identical_text
Qumulox,Somber Hoverguard,identical_text
Debtors' Transport,Ministrant of Obligation,identical_text
Alluring Scent,Bloodscent,identical_text
Bloodscent,Taunting Challenge,identical_text
Breaker of Armies,Elvish Bard,identical_text
Elvish Bard,Prized Unicorn,identical_text
Prized Unicorn,Taunting Elf,identical_text
Nausea,Shrivel,identical_text
Infest,Rags // Riches,identical_text
Magus of the Tabernacle,Pendrell Mists,identical_text
Concordant Crossroads,Mass Hysteria,identical_text
Kor Chant,Kor Dirge,identical_text
Muscle Sliver,Sinew Sliver,identical_text
Spitting Sliver,Talon Sliver,identical_text
Heart Sliver,Reflex Sliver,identical_text
Battering Sliver,Horned Sliver,identical_text
Celebrity Fencer,EPF Point Squad,identical_text
Etherium Sculptor,Foundry Inspector,identical_text
Foundry Inspector,Voyager Quickwelder,identical_text
Frozen Aether,Kismet,identical_text
Kismet,Loxodon Gatekeeper,identical_text
Big Score,Pirate's Pillage,identical_text
Pirate's Pillage,Unexpected Windfall,identical_text
Thrill of Possibility,Tormenting Voice,identical_text
Tormenting Voice,Wild Guess,identical_text
Electric Revelation,Laughing Mad,identical_text
Blood Divination,Vivisection,identical_text
Altar's Reap,Corrupted Conviction,identical_text
Corrupted Conviction,Skulltap,identical_text
Skulltap,Village Rites,identical_text
Fling,Thud,identical_text
Kitesail Apprentice,Skyhunter Cub,identical_text
Dhund Operative,Gravblade Heavy,identical_text
Eladamri's Vineyard,Magus of the Vineyard,identical_text
Magus of the Abyss,The Abyss,identical_text
Afflicted Deserter // Werewolf Ransacker,Breakneck Rider // Neck Breaker,identical_text
Breakneck Rider // Neck Breaker,Convicted Killer // Branded Howler,identical_text
Convicted Killer // Branded Howler,Gatstaf Arsonists // Gatstaf Ravagers,identical_text
Gatstaf Arsonists // Gatstaf Ravagers,Gatstaf Shepherd // Gatstaf Howler,identical_text
Gatstaf Shepherd // Gatstaf Howler,Grizzled Outcasts // Krallenhorde Wantons,identical_text
Grizzled Outcasts // Krallenhorde Wantons,Hinterland Hermit // Hinterland Scourge,identical_text
Hinterland Hermit // Hinterland Scourge,Hinterland Logger // Timber Shredder,identical_text
Hinterland Logger // Timber Shredder,Lambholt Elder // Silverpelt Werewolf,identical_text
Lambholt Elder // Silverpelt Werewolf,Mondronen Shaman // Tovolar's Magehunter,identical_text
Mondronen Shaman // Tovolar's Magehunter,Reckless Waif // Merciless Predator,identical_text
Reckless Waif // Merciless Predator,Solitary Hunter // One of the Pack,identical_text
Solitary Hunter // One of the Pack,Tormented Pariah // Rampaging Werewolf,identical_text
Tormented Pariah // Rampaging Werewolf,Ulvenwald Mystics // Ulvenwald Primordials,identical_text
Ulvenwald Mystics // Ulvenwald Primordials,Villagers of Estwald // Howlpack of Estwald,identical_text
Drop of Honey,Porphyry Nodes,identical_text
Agent of Masks,Subversion,identical_text
Elvish Farmer,Mycologist,identical_text
Roaring Primadox,Species Gorger,identical_text
Dark Confidant,Dark Tutelage,identical_text
Darba,Hungry Mist,identical_text
Juzám Djinn,Nettletooth Djinn,identical_text
Nettletooth Djinn,Ravenous Giant,identical_text
Army of Allah,Trumpet Blast,identical_text
Goblin Oriflamme,Orcish Oriflamme,identical_text
Orcish Oriflamme,War Horn,identical_text
Berserkers' Onslaught,Blade Historian,identical_text
Benalish Hero,Benalish Infantry,identical_text
Benalish Infantry,Icatian Phalanx,identical_text
Icatian Phalanx,Kjeldoran Escort,identical_text
Kjeldoran Escort,Kjeldoran Warrior,identical_text
Kjeldoran Warrior,Shield Bearer,identical_text
Shield Bearer,Timber Wolves,identical_text
Accorder Paladin,Goblin Wardriver,identical_text
Goblin Wardriver,Loxodon Partisan,identical_text
