keep,card_a,card_b,shared_tag,oracle_id_a,oracle_id_b
,"Rocco, Street Chef",Soulless Jailer,hate-exile-cast (n=2),071f5b4b-6a1e-4dc3-9c08-b79713191811,7866ab01-22f3-4d87-bdb0-c0ae0e91ffc9
,Murmuring Bosk,Tournament Grounds,wedgeland (n=2),42b9d383-3fe2-4fc8-ab86-f80a288d502b,a3ed5d7f-c554-4d46-86e5-7bb8df2693f6
,Giant Ox,Interface Ace,buttcrew (n=2),b42bdf54-9055-405c-87e6-0912dbe2bd68,c4272676-a38a-4b23-988e-9cdb2feb46c1
,Bellowing Aegisaur,Vigor,grows-others (n=2),7063abe1-87dd-4526-9867-f7ce255b2cf0,70787d8b-0a40-43ea-837a-9617dc13e7e5
,Ajani's Comrade,Court Cleric,synergy-pw-ajani (n=2),15b86440-2040-47ae-ab4e-8445b3e24462,dec9edbb-677b-4773-8bc4-b388d7592276
,"Yuriko, the Tiger's Shadow","Derevi, Empyrial Tactician",activate-from-command-zone (n=2),a7043fbd-1dfd-42cf-be4b-cc343d0949e5,afa49a09-146f-4439-850e-dd1938c93cef
,Cairn Wanderer,"Rayami, First of the Fallen",hate-haste (n=2),a549d54f-2640-455c-8a93-bef4df2f9e8b,f196ae91-be5c-461b-a69f-aecb538923b4
,Maximum Carnage,Kraven's Last Hunt,marvel-storyline-name (n=2),7351fca5-8672-4ba3-a015-bd4b6b289efc,e74efcf2-d77f-4fb5-9027-77e462ec829e
,Vivien's Jaguar,Vivien's Crocodile,synergy-pw-vivien (n=2),32412a41-2929-4417-90bc-21c5659eeb72,b49791f9-525c-4b04-954d-d7678c5565e3
,Historian of Zhalfir,Teferi's Sentinel,synergy-pw-teferi (n=2),87e9065d-814a-47fa-9e92-19fb6fd6d78c,bf24c063-dd9a-4381-b94e-682b0cb0c03d
,Attendant of Vraska,Vraska's Conquistador,synergy-pw-vraska (n=2),9a639f82-24b6-4b54-8b9e-1fbc0f0094bf,d3839a3f-3018-4a8d-b298-3f5b5fc70cd1
,Moon-Eating Dog,Celestial Messenger,synergy-pw-yanling (n=2),a8e69725-cd57-4340-83b1-498bc0bd77b8,cf40caa2-cd5b-4372-ad4a-7f4cf564241e
,Tezzeret's Strider,Tezzeret's Simulacrum,synergy-pw-tezzeret (n=2),cac79a2b-1de3-4461-95ac-fa0f1129cd6b,dd886509-7455-4c8f-976f-0f5fafcb97be
,Corpse Cur,Hand of the Praetors,synergy-infect (n=2),8f59e4d9-67ba-4dc6-ae3e-183e63673318,f595c7f6-783f-4825-9c1a-e7f8edd380fd
,River Merfolk,Enslaved Scout,gains-mountainwalk (n=2),2f503ee5-9180-438e-8af5-2af7f8f08a3a,f39a3798-1ff0-4d1b-933f-bfcc0f265168
,"Saheeli, Radiant Creator",Captain Rex Nebula,animate-battle (n=2),20f602b3-814f-406c-b7eb-2d1fc98f8cf1,984adc49-421b-488f-b316-ed7323c5735b
,Hold for Questioning,Tamiyo's Compleation,lockdown-planeswalker (n=2),1095fcd9-8127-4345-9052-fccb350296d3,71d8b7f5-a5da-4528-815e-51c65626b681
,Tyranid Prime,Propagator Drone,gives-evolve (n=2),12a43da3-57aa-4394-8cce-e53ec7e3538e,9485db26-7e03-4a66-beeb-627a3bc6f367
,Weathered Runestone,Grafdigger's Cage,hate-library-cast (n=2),4386ae4e-560a-4251-942c-0f84ba7448fa,753cb2b2-24ce-484f-a2d0-be6fd2c67ebd
,Greater Werewolf,Lesser Werewolf,creature-type-lycanthrope (n=2),02847b0d-03a1-4e30-902e-60bdf6952c58,5542afeb-285f-4889-9d09-46ce20d0d189
,"Lorehold, the Historian","Aminatou, Veil Piercer",gives-miracle (n=2),61a41cf1-60cc-45ba-aa98-493c14e87d9d,bf45f5ee-4d5f-4920-b612-b5492c2f035d
,Cut Down,Stern Scolding,hate-low-toughness (n=2),1b30210d-10e9-4703-8967-032063bb4f26,3bc8a406-3ae7-4f56-a33c-b4a2c115b917
,Dermoplasm,Qarsi Deceiver,synergy-morph (n=2),963d4712-51b2-4102-9626-d810e4696b70,e12681cc-c66e-4dac-882c-bd8638a2e12c
,Deeptread Merrow,Shore Snapper,gains-islandwalk (n=2),b301b371-e99e-43cc-af7f-dbd7b2abe5f8,c5e2ed91-edd2-47ec-809e-3e4a4245e2ce
,Mystical Teachings,Waterlogged Teachings // Inundated Archive,tutor-flash (n=2),81d72511-88b4-45ec-a5a9-e722caf55577,e6ad1be9-f13d-4590-b3db-e2d0fff46f03
,Spirit Mirror,Pure Reflection,hate-typal-reflection (n=2),42e041c0-ffbc-4bf8-a5aa-f0d14aad7112,fee53820-a17c-4f34-9971-581bf8e12fd6
,"The Master, Mesmerist","Odric, Lunarch Marshal",synergy-skulk (n=2),306b6b9b-f488-4ea8-9f5e-9e8e7354df64,bad76170-c773-4be5-9457-20dc9f745cb4
,Dinosaur Hunter,River Darter,hate-typal-dinosaur (n=2),5c58f2eb-2617-4d10-a393-6e4a9eddd1dd,939a6815-bed1-43b0-bf4d-f0581ba0fed5
,Cavalry Master,Telim'Tor,synergy-flanking (n=2),7083dedd-b246-4fe0-b1ca-00c490ed9c6b,b13a723d-80a9-4116-9857-baf3b373f87a
,Dark Ritual,Culling the Weak,mana-source-type (n=2),53f7c868-b03e-4fc2-8dcf-a75bbfa3272b,6385fd0d-256d-4400-9319-afa8170024db
,Colonel Autumn,"Henry Wu, InGen Geneticist",gives-exploit (n=2),5c6ce876-781b-437d-b20e-db0b6e2769f4,d94a792f-a48b-4181-b656-86fe452a4875
,"Varolz, the Scar-Striped",Young Deathclaws,gives-scavenge (n=2),b6b83b88-0660-4227-895e-78ac43d01b66,f24fc213-6341-482c-a056-946d0f1dd76b
,"Yomiji, Who Bars the Way",Crystal Dragon // Rob the Hoard,regrowth-legendary (n=2),438be2fa-5f8d-42ff-894a-671ba4221196,56b0cb64-b886-413e-bb20-392bf12d3926
,Baneslayer Angel,Grey Knight Paragon,hate-typal-demon (n=2),0e11792b-7fe5-4208-aa0b-e5d09b2b65fe,12cc97ec-5d03-4434-a31b-51e77d208466
,Silver Scrutiny,Multiple Choice,low-x-matters (n=2),2b0b4fc1-9ad6-4259-a0a2-9a14484c246e,b4d23acf-ff1f-4a6a-9ede-2667a99e9665
,Guru Pathik,Master Piandao,impulse-instant-sorcery-lesson (n=2),4dcd7b78-ce5a-43eb-a16d-3b9ea411795d,e294d9d2-df91-4410-85d3-8ffb13fb2285
,Seedship Agrarian,Horizon Explorer,repeatable-landers (n=2),003d9c17-5d5c-469f-ad87-d78faf55e025,e8d20361-d9b7-4f9c-8ec5-3ac7c460dcb2
,"Halsin, Emerald Archdruid","The Mechanist, Aerial Artisan",animate-token (n=2),01ab3603-6c2f-4d65-9bb2-da95efdbe622,bad27b43-7716-4ce1-82ba-2a6d437363e7
,The Twelfth Doctor,Silverquill Lecturer,gives-demonstrate (n=2),9ecf19ba-754e-4bb3-b526-fe9df87a0f08,ac230b68-f945-4a1a-bd89-33e6d62e3c36
,Keepsake Gorgon,Pharika's Spawn,hate-typal-non-gorgon (n=2),3aa58e5a-1b5e-4fb3-bf2d-9bad8126b6e6,a44955e7-f1ad-41b9-b93d-0a980ac341d8
,Brine Giant,Sky-Blessed Samurai,affinity-for-enchantments (n=2),4ecbaf6a-aa03-45c8-a09e-6c7fc598ab9e,dad767d4-e7d4-4fe0-8a18-bb434c5268eb
,Rampart Smasher,Knight of the Mists,hate-typal-knight (n=2),5ece1778-fb19-40d5-8bcc-f23033e1d5c0,e9893534-3d05-42c2-93ff-f28ffae89aa3
,Paranormal Analyst,Qarsi Deceiver,synergy-manifest-dread (n=2),8cbe71d3-b77b-49a7-9c51-ed308011b8b0,e12681cc-c66e-4dac-882c-bd8638a2e12c
,Cephalid Snitch,Shay Cormac,removes-protection (n=2),15093579-8258-41d2-9738-aaa7e3824c40,95892392-2ed3-4c1a-bbaa-4083f526769c
,Form of the Dinosaur,Form of the Dragon,form (n=2),68af06fd-a715-47c6-b439-c9fcb1b01a1d,7b389f2b-fddc-46fb-85d5-4470565323f3
,Wolf Strike,Moonrager's Slash,night-matters (n=3),34237f39-1db3-4b3d-b87b-5fd1fbd5462a,40a41774-fe50-438d-85e4-7f2beb29fb82
,Wolf Strike,Olivia's Midnight Ambush,night-matters (n=3),34237f39-1db3-4b3d-b87b-5fd1fbd5462a,a3b8a08b-5409-4d5f-9bab-8a7a6376a5b9
,Moonrager's Slash,Olivia's Midnight Ambush,night-matters (n=3),40a41774-fe50-438d-85e4-7f2beb29fb82,a3b8a08b-5409-4d5f-9bab-8a7a6376a5b9
,Lullmage Mentor,"Baral, Chief of Compliance",synergy-counterspell (n=3),752566b4-d3f5-4f10-b6f5-7185809f7a9d,baf80db7-2ca8-4bfc-b5b6-25ed51878dd7
,Wormwood Treefolk,Viscid Lemures,gains-swampwalk (n=3),2a014ef1-0450-4485-8a8c-8210a985be4c,738d8d1c-4ceb-4115-89e1-1f2149fb4f5f
,Soulstone Sanctuary,Mutavault,becomes-changeling (n=3),3c0f99b8-0222-4fac-932a-eb5d77826564,6b3cc59a-7ea5-4eb5-9bf9-5a9c07f80e2b
,Soulstone Sanctuary,Faceless Haven,becomes-changeling (n=3),3c0f99b8-0222-4fac-932a-eb5d77826564,f74107d5-fb4a-464b-9251-42b84d91775d
,Mutavault,Faceless Haven,becomes-changeling (n=3),6b3cc59a-7ea5-4eb5-9bf9-5a9c07f80e2b,f74107d5-fb4a-464b-9251-42b84d91775d
,Cloak of Invisibility,Teferi's Curse,gives-phasing (n=3),68b06917-7f83-47d4-a466-4e6698cae56d,6e422d5e-d9f5-492d-b82a-31f7274d4153
,"Rakdos, the Showstopper",Rakdos the Defiler,hate-typal-non-demon (n=3),03a4b997-4738-41a9-933f-e1f765e3a75a,789bf406-38f0-4888-b2ff-c4a95ac79283
,"Rakdos, the Showstopper",Reaper from the Abyss,hate-typal-non-demon (n=3),03a4b997-4738-41a9-933f-e1f765e3a75a,d3a50d73-3a1f-43aa-ab97-c6c0031bb734
,Rakdos the Defiler,Reaper from the Abyss,hate-typal-non-demon (n=3),789bf406-38f0-4888-b2ff-c4a95ac79283,d3a50d73-3a1f-43aa-ab97-c6c0031bb734
,Common Bond,Seeds of Strength,repeated-effect (n=3),d52e9255-62e7-479f-8def-e92b96efdb89,dd3d4d96-1e88-49e1-8276-7f62c22ad91a
,Escaped Shapeshifter,Cairn Wanderer,hate-protection (n=3),17f2342b-4dd8-445a-a7c1-4a15a5688294,a549d54f-2640-455c-8a93-bef4df2f9e8b
,Escaped Shapeshifter,"Rayami, First of the Fallen",hate-protection (n=3),17f2342b-4dd8-445a-a7c1-4a15a5688294,f196ae91-be5c-461b-a69f-aecb538923b4
,Slimy Kavu,Tundra Kavu,land-kavu (n=3),95625072-c457-4224-b509-5feaa35e9ca6,b0b7d88b-694b-4bbe-888d-05245e7d1c3e
,Slimy Kavu,Kavu Recluse,land-kavu (n=3),95625072-c457-4224-b509-5feaa35e9ca6,d44ff432-7485-448f-a08d-8417e18b8820
,Tundra Kavu,Kavu Recluse,land-kavu (n=3),b0b7d88b-694b-4bbe-888d-05245e7d1c3e,d44ff432-7485-448f-a08d-8417e18b8820
,Desert Nomads,"Hazezon, Shaper of Sand",hate-desert (n=3),3247fca3-7458-47ee-875b-c55f2a3e2962,66b16cb3-c2b1-447c-a4b0-a67326c99f20
,Guardian of the Great Conduit,Avid Reclaimer,synergy-pw-nissa (n=3),1342bd59-91d3-4a5b-b853-542a52d7da6d,a94bb381-74e2-488f-896d-a017a2b568ab
,Scavenger Regent // Exude Toxin,Glorybringer,hate-typal-non-dragon (n=3),7e97a242-0bac-4f18-9228-e98ecca36254,b75c3902-633e-4d24-acde-d7a9cc8f466e
,Nullify,Avoid Fate,counterspell-aura (n=3),5ea295af-e117-49cc-836b-da16b5d5bbdf,c04dd88f-fb7f-43be-b586-7fc5642073dc
,Worldfire,Sway of the Stars,board-reset (n=3),ae0b8c13-0a71-4a60-bf9f-6e2da9503e9c,c4fccdd5-5b51-46b9-9937-9167c108743d
,"Wort, the Raidmother","Rassilon, the War President",gives-conspire (n=3),d6b67c7e-3b24-4f60-8e3a-c6ca45229d7f,ebec9957-b777-42ae-a394-85c7ed84d00a
,Canopy Cover,Treetop Bracers,gives-fake-flying (n=3),5b84101e-7e23-437d-835c-409bc061ecbb,ba71eb8a-f9f8-4608-88d8-963a1770d8d4
,Garruk's Harbinger,Predatory Wurm,synergy-pw-garruk (n=3),2dbe384b-71c4-43f9-be35-ba2894021b85,99ed6e18-7f14-4ea8-baee-ad6c081388ff
,Sakura-Tribe Springcaller,"Shizuko, Caller of Autumn",old-mana-burn-clause (n=3),675a0eff-4da0-45cd-9371-fca96c313f4c,c4984e18-9caf-4dd0-9c24-e60ccb27e2a0
,Struggle for Project Purity,Mirrodin Besieged,siege-modal (n=3),5958e9e3-9457-48e1-afc1-a5c89e3b0ed0,674e2683-31c0-4fee-95fb-98b1201e41e7
,Struggle for Project Purity,Battle of Hoover Dam,siege-modal (n=3),5958e9e3-9457-48e1-afc1-a5c89e3b0ed0,91596da5-5b1a-430c-a878-7757ae366b6b
,Mirrodin Besieged,Battle of Hoover Dam,siege-modal (n=3),674e2683-31c0-4fee-95fb-98b1201e41e7,91596da5-5b1a-430c-a878-7757ae366b6b
,Silver-Fur Master,"Satoru, the Infiltrator",synergy-ninjutsu (n=3),60ec735d-c9be-4776-beb7-f603ae22edbf,7555c429-5f2d-4171-b6b0-8e3c8da7f314
,Silver-Fur Master,Satoru Umezawa,synergy-ninjutsu (n=3),60ec735d-c9be-4776-beb7-f603ae22edbf,ed1d21ba-ddfe-4f82-9e37-93f9e2c7ba33
,"Satoru, the Infiltrator",Satoru Umezawa,synergy-ninjutsu (n=3),7555c429-5f2d-4171-b6b0-8e3c8da7f314,ed1d21ba-ddfe-4f82-9e37-93f9e2c7ba33
,Clandestine Chameleon,Tusk and Whiskers,synergy-ability-sticker (n=3),886e00ab-c694-4839-b3fb-7a72048db4b2,de45de7e-5bba-4612-8bb7-755710d93ecf
,Aura Graft,Fumble,theft-aura (n=3),00317e4f-0228-469a-9789-fb6c39976860,cbf68ddd-596f-4b2d-b93c-3b7976ba4d37
,Rory Williams,Epochrasite,gains-suspend (n=3),16a44586-ea1d-45f1-b9de-da1c11f729df,54e2d2ff-51d2-48a5-ab2e-7d9de8c78b7e
,Rory Williams,Sinister Concierge,gains-suspend (n=3),16a44586-ea1d-45f1-b9de-da1c11f729df,9b14c20f-c4ee-42ea-99cd-099b4eb25883
,Epochrasite,Sinister Concierge,gains-suspend (n=3),54e2d2ff-51d2-48a5-ab2e-7d9de8c78b7e,9b14c20f-c4ee-42ea-99cd-099b4eb25883
,Icatian Skirmishers,Urza's Engine,synergy-banding (n=3),8ddbe82b-7fc9-4b2c-85de-dc747adbb3ca,bf6ea878-044b-40a8-a21b-0191a948a69a
,Doomsday Specter,Shivan Wurm,gating (n=3),5811effb-5010-44b9-bb97-9d7eb358327f,fc988ce3-0cad-41a5-8f13-656caca732df
,Merrow Harbinger,Forerunner of the Heralds,tutor-creature-merfolk (n=3),035ee753-232f-4ba2-afbf-8d1eb162e6f8,56e2bdcf-d1d8-4c56-af3a-388cd42353e6
,Merrow Harbinger,Seahunter,tutor-creature-merfolk (n=3),035ee753-232f-4ba2-afbf-8d1eb162e6f8,59e1899f-a9e8-48aa-b3fb-0b7d9fd6859c
,Forerunner of the Heralds,Seahunter,tutor-creature-merfolk (n=3),56e2bdcf-d1d8-4c56-af3a-388cd42353e6,59e1899f-a9e8-48aa-b3fb-0b7d9fd6859c
,Dragonkin Berserker,Frenzied Raider,synergy-boast (n=3),06b77a80-4968-4385-960a-fb66bb4faa94,1207881c-4c03-48e1-9ca7-a2330e8053d1
,Dragonkin Berserker,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",synergy-boast (n=3),06b77a80-4968-4385-960a-fb66bb4faa94,fb81e4d3-1d8c-4779-be62-87cf49277e51
,Frenzied Raider,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",synergy-boast (n=3),1207881c-4c03-48e1-9ca7-a2330e8053d1,fb81e4d3-1d8c-4779-be62-87cf49277e51
,Overgrown Pest,"Tetzin, Gnome Champion // The Golden-Gear Colossus",synergy-dfc (n=3),ce84891f-07e1-4c72-a7b8-93b6afd1293e,e12b38e5-621b-4b2c-8c04-c15c41d4fc70
,Urban Retreat,Crypt of the Eternals,shardland (n=3),18290c4b-cff6-4ee5-a487-fe0d5706d3de,cc78776b-822b-4f11-8982-0805a25a9d36
,Urban Retreat,Oscorp Industries,shardland (n=3),18290c4b-cff6-4ee5-a487-fe0d5706d3de,f432eb6a-f1bf-4ce7-b915-1488dccb4bb9
,Crypt of the Eternals,Oscorp Industries,shardland (n=3),cc78776b-822b-4f11-8982-0805a25a9d36,f432eb6a-f1bf-4ce7-b915-1488dccb4bb9
,Argothian Enchantress,Femeref Enchantress,creature-type-enchantress (n=3),11f17f85-ca97-4551-838f-7cb32f0e5f10,8b983a46-580f-4a94-8ef3-5253e503148e
,Argothian Enchantress,Verduran Enchantress,creature-type-enchantress (n=3),11f17f85-ca97-4551-838f-7cb32f0e5f10,cd98a31b-cc7e-43f9-982e-109ad9850908
,Femeref Enchantress,Verduran Enchantress,creature-type-enchantress (n=3),8b983a46-580f-4a94-8ef3-5253e503148e,cd98a31b-cc7e-43f9-982e-109ad9850908
,Scrollshift,Flicker of Fate,flicker-enchantment (n=3),9f762b9f-7525-4ff8-bc1d-fbab66fd4013,d5b9d250-92f5-40d8-b962-4ae4adb466c8
,Eye of Ugin,Sanctum of Ugin,tutor-creature-colorless (n=3),10d13ff6-c4d0-4753-8939-a8a90f0e92bb,72cb5dcd-9b24-435c-921a-3766108374c4
,Joyful Stormsculptor,"Kasla, the Broken Halo",synergy-convoke (n=3),39867856-c1f3-442a-abe9-53f8f73777d0,b2d4ce3c-00b1-4a72-b652-4c129475080f
,Colonel Autumn,Skull Skaab,synergy-exploit (n=3),5c6ce876-781b-437d-b20e-db0b6e2769f4,c73839bf-7500-4fd4-aa2b-e2e2e157784d
,Skull Skaab,"Henry Wu, InGen Geneticist",synergy-exploit (n=3),c73839bf-7500-4fd4-aa2b-e2e2e157784d,d94a792f-a48b-4181-b656-86fe452a4875
,Scarab of the Unseen,Portal of Sanctuary,rescue-aura (n=3),5f085af7-ce66-4019-9516-d1650ee7b6e0,c30491b5-08fe-4694-9ac8-53be7b4b92ce
,Blazethorn Scarecrow,Thornwatch Scarecrow,gains-wither (n=3),5f7a4ffb-83f7-46e5-b0a7-c8b068af6969,fe01e07c-dbca-4598-a944-1b194df44260
,"Thrun, the Last Troll",Taoist Hermit,keyword-errata-hexproof (n=3),1149e5ac-554a-41b1-84ae-bac42579c1aa,960b1251-12af-4766-8df1-bb98e7e967f5
,"Thrun, the Last Troll","Zuo Ci, the Mocking Sage",keyword-errata-hexproof (n=3),1149e5ac-554a-41b1-84ae-bac42579c1aa,ae8773a3-05f2-4074-9a53-033b0c127235
,Taoist Hermit,"Zuo Ci, the Mocking Sage",keyword-errata-hexproof (n=3),960b1251-12af-4766-8df1-bb98e7e967f5,ae8773a3-05f2-4074-9a53-033b0c127235
,Oath of Ajani,Oath of Kaya,gatewatch-oath (n=3),1ec39c8f-eb1e-4881-a749-0c188788b612,8b3febb9-0597-46af-b005-982f1a31c83e
,"Silverquill, the Disputant","Anhelo, the Painter",gives-casualty (n=3),66deb3f3-0314-427e-9cb8-6befa365ae94,d3c3f293-6790-4dce-900a-8af0464c2572
,"Silverquill, the Disputant","Ashad, the Lone Cyberman",gives-casualty (n=3),66deb3f3-0314-427e-9cb8-6befa365ae94,f3902dfd-6d09-425f-8446-a68cae2eea50
,"Anhelo, the Painter","Ashad, the Lone Cyberman",gives-casualty (n=3),d3c3f293-6790-4dce-900a-8af0464c2572,f3902dfd-6d09-425f-8446-a68cae2eea50
,"Harald, King of Skemfar",Sylvan Messenger,impulse-creature-elf (n=3),0089b07c-7f47-4a9a-9fb7-cc38ec9d7bcd,ba310102-8272-4d64-a00b-9e7346cb5f46
,Psychic Overload,Mist of Stagnation,lockdown-permanent (n=3),c50354fc-7dfe-4ea7-87dd-488ca6213344,e78673c4-a969-443f-b1a4-0eb37b8111af
,Arcus Acolyte,Enduring Sliver,gives-outlast (n=3),628f2deb-519e-4810-a7e5-e31316e9a4e0,f9726123-f87b-41bb-9b6f-6d2fbcf0eae2
,Angel of Jubilation,"Yasharn, Implacable Earth",hate-life-payment (n=3),36c2fc4c-7d8b-47c2-91c3-e356df60b219,6dc23410-4d8f-4c8a-92b4-a8b3fae1af4e
,Martyrs of Korlis,Veteran Bodyguard,creature-type-bodyguard (n=3),7ca54a23-f8eb-4982-b4ee-7392e2f2a1b3,d29078c0-1fb8-437a-81d1-bb319f646941
,Lux Artillery,Solar Array,gives-sunburst (n=3),cbd76b22-d04e-48e7-bcab-c7f5466d67d8,e8e2f273-5e74-4f16-8d49-2e86e9c9f2dc
,"Vraska, the Silencer",Vincent Valentine // Galian Beast,death-trigger-opponent (n=3),e7c5a568-3855-4a20-9edf-01a8a6a4ba97,f40e6bbf-1fed-4ec5-869d-18c2dd396d14
,"Averna, the Chaos Bloom",The First Doctor,synergy-cascade (n=3),23695bc2-86d3-4d78-b374-9e83c4cc9cc4,5611b70d-f8d1-4a8f-b9a2-a356264a7c46
,"Quintorius, Loremaster","Narset, Enlightened Exile",graveyard-fuel-noncreature (n=3),c3d38129-b955-4fb5-8486-095f918935b9,d92725de-ead0-4a6c-83db-55ec3acc7184
,True-Name Nemesis,Sawhorn Nemesis,nemesis-mega-cycle (n=3),112322ad-8f66-4cd4-98a1-f425d61a69ce,2f9107c5-991a-4c20-9b77-2e2fb4b9dc53
,True-Name Nemesis,Sewer Nemesis,nemesis-mega-cycle (n=3),112322ad-8f66-4cd4-98a1-f425d61a69ce,c7f1a49a-cc22-432f-bf3e-50ba61982b87
,Sawhorn Nemesis,Sewer Nemesis,nemesis-mega-cycle (n=3),2f9107c5-991a-4c20-9b77-2e2fb4b9dc53,c7f1a49a-cc22-432f-bf3e-50ba61982b87
,Practiced Scrollsmith,"Narset, Enlightened Exile",graveyard-fuel-noncreature (n=3),a02f9f42-4c3a-4a97-8667-68ba4617f193,d92725de-ead0-4a6c-83db-55ec3acc7184
,Drain Power,Piracy,theft-mana (n=3),0669172d-396b-4f5a-9703-129c5c849b55,131acf69-fa5c-4ce7-9e39-2677af4f8907
,Emeritus of Conflict // Lightning Bolt,Captain Ripley Vance,third-spell-matters (n=3),5963eef1-1022-42b1-8a0c-fc9850bfc2a3,eefeeab1-b9f2-451a-9250-eb7b54d00fc1
,Steel Wrecking Ball,Runaway Boulder,noncreature-virtual-vanilla (n=3),3a07e22c-71cd-4723-b07e-0ff02009a878,57f15861-82cf-4faf-827c-9bc7f4844d2a
