oracle_id,name,type_line,appearances,status,gap_category,exclusion_reason,error
b473e293-59e3-4e04-acf2-622604aeb25f,Path of Ancestry,Land,77,gap,mana side effect,,
58257464-278e-45fa-8e0b-bcd9a7500bc1,Ash Barrens,Land,47,gap,static pattern unmatched,,
07a0cba9-8768-4fd9-a3d5-b0f83b4bf8e8,Chaos Warp,Instant,36,gap,effect not matched,,
fc9ec820-4245-4a96-b009-5308a818ca58,Watery Grave,Land — Island Swamp,23,gap,ETB replacement,,
db6174d7-211d-4817-b8e4-8384594c83f9,"Urborg, Tomb of Yawgmoth",Legendary Land,23,gap,static pattern unmatched,,
2b76f9e9-cd28-4eaf-8674-215c34263f96,Return of the Wildspeaker,Instant,20,gap,effect not matched,,
975ec9a3-6f20-4177-8211-82526e092538,Overgrown Tomb,Land — Swamp Forest,20,gap,ETB replacement,,
0d4ecdb1-ec90-497f-a7a4-1c68092b8757,Teferi's Protection,Instant,19,gap,effect not matched,,
20283c4a-f1f0-42f0-bc08-6da87474426b,Breeding Pool,Land — Forest Island,19,gap,ETB replacement,,
584b15f2-6ae9-413a-8b8d-9244dbea4878,Unclaimed Territory,Land,18,gap,ETB replacement,,
d2075f58-b0e9-4e85-b7e6-0523a27a1d5b,Bala Ged Recovery // Bala Ged Sanctuary,Sorcery // Land,17,excluded,,multi_faced,
f413a83d-a40d-434c-b20a-4c707c0527fa,Temple Garden,Land — Forest Plains,17,gap,ETB replacement,,
45181cb8-2090-4471-ba90-e5a8f04d525f,Sacred Foundry,Land — Mountain Plains,17,gap,ETB replacement,,
73864fcc-1bde-4bc0-831e-2b93e546e417,Godless Shrine,Land — Plains Swamp,17,gap,ETB replacement,,
16052b52-ade1-406f-a06b-ce7ea607fb63,Stomping Ground,Land — Mountain Forest,17,gap,ETB replacement,,
1cb9d94a-3039-4f2e-8fcc-6996f9a45f74,Izzet Boilerworks,Land,16,gap,effect not matched,,
8dd5f5af-d2d8-4356-8617-8381081b930c,"Yavimaya, Cradle of Growth",Legendary Land,16,gap,static pattern unmatched,,
43985bbc-a0f6-4812-984e-392bc8562633,Blood Crypt,Land — Swamp Mountain,16,gap,ETB replacement,,
17039058-822d-409f-938c-b727a366ba63,Steam Vents,Land — Island Mountain,16,gap,ETB replacement,,
f1750962-a87c-49f6-b731-02ae971ac6ea,Hallowed Fountain,Land — Plains Island,16,gap,ETB replacement,,
7e8c2a18-e404-40ff-a9e0-ec3eeb6d576e,Command Beacon,Land,15,gap,effect not matched,,
457af74a-02b3-4659-846d-63e482667f34,Deadly Dispute,Instant,15,gap,effect not matched,,
705509e9-a034-4a5a-9c65-66f58748b8a2,Harrow,Instant,15,gap,ADDL_COST,,
