oracle_id,name,type_line,appearances,status,gap_category,exclusion_reason,error
32e5339e-9e4f-46f8-b305-f9d6d3ba8bb5,Lotus Petal,Artifact,197,excluded,,digital,
c0adbddc-b070-4c5f-afe0-0474c72a9251,Gemstone Caverns,Legendary Land,195,gap,static pattern unmatched,,
ec3d4466-547c-4e02-b1b5-a156ec4637e9,Chrome Mox,Artifact,194,gap,effect not matched,,
f3c5978a-70fa-431f-933b-b954bd0db0ea,Mox Diamond,Artifact,190,excluded,,digital,
736892cb-a34b-4bb9-b56c-e26e3db207a2,Mana Vault,Artifact,190,gap,damage pattern unmatched,,
f25351e3-539b-4bbc-b92d-6480acf4d722,City of Brass,Land,157,gap,event not matched,,
f3e213a4-ba5a-468a-93b3-c0a34e1bd725,Pact of Negation,Instant,143,gap,effect not matched,,
86bf58f2-7f25-4e10-b797-25e0e8e67769,Flusterstorm,Instant,142,gap,effect not matched,,
48712d36-5c13-4ded-87a4-68106da4a5cd,Mindbreak Trap,Instant — Trap,128,gap,ALT_COST,,
e9b6a394-691c-425a-9307-76d8edc7375e,"Otawara, Soaring City",Legendary Land,127,gap,effect not matched,,
ee6099b0-fb1f-42f1-b862-7708c6e36d05,Lion's Eye Diamond,Artifact,120,excluded,,digital,
27e0948b-9916-473b-8d8c-a51bdfbc7457,Underworld Breach,Enchantment,112,gap,static pattern unmatched,,
ce19962d-94f9-4b2b-b668-963c0acce308,Borne Upon a Wind,Instant,106,gap,effect not matched,,
4879c8f0-8832-4290-bc71-9838940f75cd,Valley Floodcaller,Creature — Otter Wizard,100,gap,static pattern unmatched,,
c718911c-c955-4eb9-9e16-be4bd49a4e4e,Volcanic Island,Land — Island Mountain,97,excluded,,digital,
8a2e53f9-8100-488f-8504-b59e9bd1cc29,Rite of Flame,Sorcery,96,gap,effect not matched,,
f161111d-9747-47b3-bb10-3c8bded32e21,City of Traitors,Land,96,excluded,,digital,
8aed54cb-d1bb-45ad-adbe-38e55d84ff31,Silence,Instant,96,gap,effect not matched,,
ac2173f9-f223-440a-9231-fd98762bdc6f,Force of Negation,Instant,95,gap,ALT_COST,,
a984db23-40ea-428d-829f-e944267280f8,Faerie Mastermind,Creature — Faerie Rogue,92,gap,event not matched,,
96c2d71e-0fc9-42aa-bc6b-6d0ae3f66f8b,Hexing Squelcher,Creature — Goblin Sorcerer,91,gap,static pattern unmatched,,
cada3481-cc2b-4412-b9b5-0436af53aad2,Ranger-Captain of Eos,Creature — Human Soldier Ranger,86,gap,effect not matched,,
bb329a5c-b9f9-4973-a53f-090024146325,Red Elemental Blast,Instant,84,gap,effect not matched,,
464c0150-3dbc-403b-9ada-fef25ab1f29d,Brain Freeze,Instant,84,excluded,,digital,
b9df2cdf-397c-458d-89cf-911568737ffa,Mockingbird,Creature — Bird Bard,83,gap,static pattern unmatched,,
1a85ba2b-ae10-4917-954a-7709b75a9740,Tainted Pact,Instant,82,gap,effect not matched,,
28b46183-c62f-47b1-9fee-3ba148202cab,Crop Rotation,Instant,79,gap,ADDL_COST,,
4b22be3a-8ce1-47d1-b82e-6c3ccfb0548b,Underground Sea,Land — Island Swamp,76,excluded,,digital,
7536eb66-959d-4dca-9b75-895572ef733c,Emergence Zone,Land,74,gap,effect not matched,,
70dd5013-f18f-4501-882f-70590c424e20,Tataru Taru,Legendary Creature — Dwarf Advisor,72,gap,effect not matched,,
4514777d-0589-4631-978b-ff244167c176,Vexing Bauble,Artifact,70,gap,event not matched,,
8c45bf9d-a017-43bf-9e32-67810a8a217b,Talon Gates of Madara,Land — Gate,69,gap,effect not matched,,
1de1b591-a73f-4974-b507-8c63e07a0868,Thassa's Oracle,Creature — Merfolk Wizard,68,gap,effect not matched,,
89ca686a-7c72-4d8f-9290-e89635624a83,Cavern of Souls,Land,67,gap,ETB replacement,,
74b7fe23-5d3a-4092-8d78-7c0eba8f6f73,Tropical Island,Land — Forest Island,66,excluded,,digital,
02418479-9455-417f-a6a1-004356faff37,Tundra,Land — Plains Island,66,excluded,,digital,
9a1412db-45ad-46ea-8f12-a85d203113d8,Demonic Consultation,Instant,66,excluded,,digital,
69872a9a-fe54-4e58-940c-89395af71acd,Finale of Devastation,Sorcery,66,gap,effect not matched,,
13ff3222-91cb-4796-a34e-899ed817694c,Badlands,Land — Swamp Mountain,65,excluded,,digital,
8d0adc5c-3fdd-4e22-b783-5651f8e57b65,Final Fortune,Instant,64,gap,effect not matched,,
5b5bf1fa-6502-4790-b66b-f0f8504ebc7c,Cabal Ritual,Instant,64,excluded,,digital,
c8d95ca8-7d12-4072-aeaf-e20f248c7e39,Scrubland,Land — Plains Swamp,64,excluded,,digital,
fb81e4d3-1d8c-4779-be62-87cf49277e51,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",Legendary Creature — God // Legendary Artifact,64,excluded,,multi_faced,
