oracle_id,name,type_line,appearances,status,gap_category,exclusion_reason,error
b473e293-59e3-4e04-acf2-622604aeb25f,Path of Ancestry,Land,731,gap,mana side effect,nan,
07a0cba9-8768-4fd9-a3d5-b0f83b4bf8e8,Chaos Warp,Instant,532,gap,effect not matched,nan,
fc9ec820-4245-4a96-b009-5308a818ca58,Watery Grave,Land — Island Swamp,344,gap,ETB replacement,nan,
db6174d7-211d-4817-b8e4-8384594c83f9,"Urborg, Tomb of Yawgmoth",Legendary Land,328,gap,static pattern unmatched,nan,
f1750962-a87c-49f6-b731-02ae971ac6ea,Hallowed Fountain,Land — Plains Island,313,gap,ETB replacement,nan,
73864fcc-1bde-4bc0-831e-2b93e546e417,Godless Shrine,Land — Plains Swamp,311,gap,ETB replacement,nan,
16052b52-ade1-406f-a06b-ce7ea607fb63,Stomping Ground,Land — Mountain Forest,306,gap,ETB replacement,nan,
20283c4a-f1f0-42f0-bc08-6da87474426b,Breeding Pool,Land — Forest Island,305,gap,ETB replacement,nan,
0d4ecdb1-ec90-497f-a7a4-1c68092b8757,Teferi's Protection,Instant,299,gap,effect not matched,nan,
43985bbc-a0f6-4812-984e-392bc8562633,Blood Crypt,Land — Swamp Mountain,299,gap,ETB replacement,nan,
45181cb8-2090-4471-ba90-e5a8f04d525f,Sacred Foundry,Land — Mountain Plains,297,gap,ETB replacement,nan,
17039058-822d-409f-938c-b727a366ba63,Steam Vents,Land — Island Mountain,296,gap,ETB replacement,nan,
f413a83d-a40d-434c-b20a-4c707c0527fa,Temple Garden,Land — Forest Plains,285,gap,ETB replacement,nan,
975ec9a3-6f20-4177-8211-82526e092538,Overgrown Tomb,Land — Swamp Forest,279,gap,ETB replacement,nan,
8dd5f5af-d2d8-4356-8617-8381081b930c,"Yavimaya, Cradle of Growth",Legendary Land,265,gap,static pattern unmatched,nan,
e9b6a394-691c-425a-9307-76d8edc7375e,"Otawara, Soaring City",Legendary Land,263,gap,effect not matched,nan,
89ca686a-7c72-4d8f-9290-e89635624a83,Cavern of Souls,Land,243,gap,ETB replacement,nan,
58257464-278e-45fa-8e0b-bcd9a7500bc1,Ash Barrens,Land,242,gap,static pattern unmatched,nan,
d2664f28-49e1-46f8-a863-b217e961a57c,Black Market Connections,Enchantment,226,gap,event not matched,nan,
2b76f9e9-cd28-4eaf-8674-215c34263f96,Return of the Wildspeaker,Instant,224,gap,effect not matched,nan,
f25351e3-539b-4bbc-b92d-6480acf4d722,City of Brass,Land,218,gap,event not matched,nan,
84dc18f0-8225-4b40-a165-b10321e41769,"Nykthos, Shrine to Nyx",Legendary Land,213,gap,mana side effect,nan,
d2075f58-b0e9-4e85-b7e6-0523a27a1d5b,Bala Ged Recovery // Bala Ged Sanctuary,Sorcery // Land,211,excluded,nan,multi_faced,
92eed395-62ca-4293-882b-8565c40daab5,Sylvan Library,Enchantment,205,gap,effect not matched,nan,
a731e87b-8d99-4b64-8ee3-8e540d652366,Malakir Rebirth // Malakir Mire,Instant // Land,203,excluded,nan,multi_faced,
