oracle_id,name,type_line,appearances,status,gap_category,exclusion_reason,error
ec3d4466-547c-4e02-b1b5-a156ec4637e9,Chrome Mox,Artifact,44467,gap,effect not matched,nan,
32e5339e-9e4f-46f8-b305-f9d6d3ba8bb5,Lotus Petal,Artifact,44231,excluded,nan,digital,
c0adbddc-b070-4c5f-afe0-0474c72a9251,Gemstone Caverns,Legendary Land,43987,gap,static pattern unmatched,nan,
f3c5978a-70fa-431f-933b-b954bd0db0ea,Mox Diamond,Artifact,41963,excluded,nan,digital,
736892cb-a34b-4bb9-b56c-e26e3db207a2,Mana Vault,Artifact,41215,gap,damage pattern unmatched,nan,
f25351e3-539b-4bbc-b92d-6480acf4d722,City of Brass,Land,38726,gap,event not matched,nan,
86bf58f2-7f25-4e10-b797-25e0e8e67769,Flusterstorm,Instant,34949,gap,effect not matched,nan,
48712d36-5c13-4ded-87a4-68106da4a5cd,Mindbreak Trap,Instant — Trap,32604,gap,ALT_COST,nan,
e9b6a394-691c-425a-9307-76d8edc7375e,"Otawara, Soaring City",Legendary Land,32363,gap,effect not matched,nan,
f3e213a4-ba5a-468a-93b3-c0a34e1bd725,Pact of Negation,Instant,32137,gap,effect not matched,nan,
ac2173f9-f223-440a-9231-fd98762bdc6f,Force of Negation,Instant,26879,gap,ALT_COST,nan,
3aa83ed2-f48b-4ce6-a614-2c54ddf50538,The One Ring,Legendary Artifact,25224,gap,effect not matched,nan,
ee6099b0-fb1f-42f1-b862-7708c6e36d05,Lion's Eye Diamond,Artifact,23130,excluded,nan,digital,
1a85ba2b-ae10-4917-954a-7709b75a9740,Tainted Pact,Instant,22919,gap,effect not matched,nan,
4b22be3a-8ce1-47d1-b82e-6c3ccfb0548b,Underground Sea,Land — Island Swamp,22507,excluded,nan,digital,
1de1b591-a73f-4974-b507-8c63e07a0868,Thassa's Oracle,Creature — Merfolk Wizard,22434,gap,effect not matched,nan,
8aed54cb-d1bb-45ad-adbe-38e55d84ff31,Silence,Instant,22229,gap,effect not matched,nan,
27e0948b-9916-473b-8d8c-a51bdfbc7457,Underworld Breach,Enchantment,21518,gap,static pattern unmatched,nan,
c718911c-c955-4eb9-9e16-be4bd49a4e4e,Volcanic Island,Land — Island Mountain,20912,excluded,nan,digital,
9a1412db-45ad-46ea-8f12-a85d203113d8,Demonic Consultation,Instant,20006,excluded,nan,digital,
81c70ae7-3c18-4c9b-8505-e4db9e0e6518,Wishclaw Talisman,Artifact,19959,gap,replacement,nan,
ce19962d-94f9-4b2b-b668-963c0acce308,Borne Upon a Wind,Instant,19862,gap,effect not matched,nan,
cada3481-cc2b-4412-b9b5-0436af53aad2,Ranger-Captain of Eos,Creature — Human Soldier Ranger,19546,gap,effect not matched,nan,
bb329a5c-b9f9-4973-a53f-090024146325,Red Elemental Blast,Instant,18646,gap,effect not matched,nan,
02418479-9455-417f-a6a1-004356faff37,Tundra,Land — Plains Island,18145,excluded,nan,digital,
8a2e53f9-8100-488f-8504-b59e9bd1cc29,Rite of Flame,Sorcery,17763,gap,effect not matched,nan,
c749f23c-40c0-4159-b84c-a70cbb062c14,Grand Abolisher,Creature — Human Cleric,17580,gap,static pattern unmatched,nan,
c8d95ca8-7d12-4072-aeaf-e20f248c7e39,Scrubland,Land — Plains Swamp,17386,excluded,nan,digital,
464c0150-3dbc-403b-9ada-fef25ab1f29d,Brain Freeze,Instant,17220,excluded,nan,digital,
74b7fe23-5d3a-4092-8d78-7c0eba8f6f73,Tropical Island,Land — Forest Island,17079,excluded,nan,digital,
fc9ec820-4245-4a96-b009-5308a818ca58,Watery Grave,Land — Island Swamp,16707,gap,ETB replacement,nan,
89ca686a-7c72-4d8f-9290-e89635624a83,Cavern of Souls,Land,16516,gap,ETB replacement,nan,
13ff3222-91cb-4796-a34e-899ed817694c,Badlands,Land — Swamp Mountain,16339,excluded,nan,digital,
69872a9a-fe54-4e58-940c-89395af71acd,Finale of Devastation,Sorcery,15872,gap,effect not matched,nan,
4879c8f0-8832-4290-bc71-9838940f75cd,Valley Floodcaller,Creature — Otter Wizard,15449,gap,static pattern unmatched,nan,
340bbe8b-e987-4c3e-ab4e-9dee63e57d4f,Phyrexian Metamorph,Artifact Creature — Phyrexian Shapeshifter,15280,gap,static pattern unmatched,nan,
a8abd966-de7b-46a3-8ac7-8747ab35653a,Wheel of Fortune,Sorcery,15136,excluded,nan,digital,
5b5bf1fa-6502-4790-b66b-f0f8504ebc7c,Cabal Ritual,Instant,15017,excluded,nan,digital,
8d0adc5c-3fdd-4e22-b783-5651f8e57b65,Final Fortune,Instant,14705,gap,effect not matched,nan,
1f438b8f-fe23-4f3b-ab2e-f6c33676c462,Opposition Agent,Creature — Human Rogue,14687,gap,static pattern unmatched,nan,
f161111d-9747-47b3-bb10-3c8bded32e21,City of Traitors,Land,14431,excluded,nan,digital,
b9df2cdf-397c-458d-89cf-911568737ffa,Mockingbird,Creature — Bird Bard,14313,gap,static pattern unmatched,nan,
28b46183-c62f-47b1-9fee-3ba148202cab,Crop Rotation,Instant,14204,gap,ADDL_COST,nan,
a984db23-40ea-428d-829f-e944267280f8,Faerie Mastermind,Creature — Faerie Rogue,14130,gap,event not matched,nan,
2c63e4e1-89d2-4bc6-a232-94e75c4b1c8a,Mana Crypt,Artifact,13686,gap,effect not matched,nan,
981b0e21-e5e6-4a1e-bfde-679d56623f7f,Ad Nauseam,Instant,13645,gap,effect not matched,nan,
94a844d2-0574-45a7-b347-e0e329767c42,Necropotence,Enchantment,12703,gap,replacement,nan,
c7a15ca4-085f-4d92-8387-c3711c04c8fa,Plateau,Land — Mountain Plains,12692,excluded,nan,digital,
20283c4a-f1f0-42f0-bc08-6da87474426b,Breeding Pool,Land — Forest Island,12504,gap,ETB replacement,nan,
7536eb66-959d-4dca-9b75-895572ef733c,Emergence Zone,Land,12129,gap,effect not matched,nan,
3c9faba7-f2d3-4978-be94-020dc8003dc0,Intuition,Instant,11972,excluded,nan,digital,
4c6a0c30-b547-4eff-8ff4-0ca25803c076,Urza's Saga,Enchantment Land — Urza's Saga,11898,gap,effect not matched,nan,
8cb36a67-9206-4665-a03f-64f52ba559c4,Into the Flood Maw,Instant,11787,gap,effect not matched,nan,
aa41e0e6-d04e-48d6-8450-02b972dd0bb1,Mnemonic Betrayal,Sorcery,11574,gap,effect not matched,nan,
aadd10d0-6dd0-4bdc-8d93-ff08e29a5863,Drannith Magistrate,Creature — Human Wizard,10846,gap,static pattern unmatched,nan,
b76d1ae6-ad1d-4bac-b4c3-2e03e0e84d9b,Bayou,Land — Swamp Forest,10441,excluded,nan,digital,
8c45bf9d-a017-43bf-9e32-67810a8a217b,Talon Gates of Madara,Land — Gate,10388,gap,effect not matched,nan,
f1750962-a87c-49f6-b731-02ae971ac6ea,Hallowed Fountain,Land — Plains Island,10326,gap,ETB replacement,nan,
17039058-822d-409f-938c-b727a366ba63,Steam Vents,Land — Island Mountain,10292,gap,ETB replacement,nan,
703243f0-8cb3-420f-958f-5fd4bde30293,Savannah,Land — Forest Plains,10176,excluded,nan,digital,
17784f90-89a1-47a5-83ef-ae60dfc30bd1,"Minamo, School at Water's Edge",Legendary Land,10143,gap,effect not matched,nan,
22e3cf1d-3559-4ce1-954c-8dc815342979,Taiga,Land — Mountain Forest,10058,excluded,nan,digital,
fb81e4d3-1d8c-4779-be62-87cf49277e51,"Birgi, God of Storytelling // Harnfel, Horn of Bounty",Legendary Creature — God // Legendary Artifact,10047,excluded,nan,multi_faced,
cbbe535b-12d6-4e6c-8b26-9220f06a1604,Beseech the Mirror,Sorcery,9597,gap,effect not matched,nan,
f586ecb8-310c-4f40-a766-6a7ca46a254d,Flare of Duplication,Instant,8950,gap,ALT_COST,nan,
43985bbc-a0f6-4812-984e-392bc8562633,Blood Crypt,Land — Swamp Mountain,8881,gap,ETB replacement,nan,
bcc6eece-75ea-494c-b33a-d4477d504e0b,Sink into Stupor // Soporific Springs,Instant // Land,8728,excluded,nan,multi_faced,
463865bc-087e-477b-9e86-84e77f1ad931,Seedborn Muse,Creature — Spirit,8650,gap,static pattern unmatched,nan,
3577c47e-76d3-4659-b922-31c4b74be3a0,Enduring Vitality,Enchantment Creature — Elk Glimmer,8256,gap,effect not matched,nan,
7c2a4fe5-43e8-4e20-bef2-0278d18afc4b,Shifting Woodland,Land,8173,gap,effect not matched,nan,
c85d824b-c190-4d04-ab99-918ad0e6516c,Endurance,Creature — Elemental Incarnation,8140,gap,effect not matched,nan,
97cabeda-9fe3-490d-99b4-4c8d87c17157,Noxious Revival,Instant,8009,gap,effect not matched,nan,
09ef446c-a13d-49d9-a94c-cd5f5a2d440b,Displacer Kitten,Creature — Cat Beast,7947,gap,effect not matched,nan,
d4a84e78-d9b9-4c67-8a4b-4329e65f0f15,Hullbreaker Horror,Creature — Kraken Horror,7894,gap,effect not matched,nan,
8d11aa49-d4cd-48b1-aa0f-8548fa733416,"Kinnan, Bonder Prodigy",Legendary Creature — Human Druid,7871,gap,event not matched,nan,
6d56aeb1-0a50-46b6-abdb-cd6575a98dc3,Praetor's Grasp,Sorcery,7856,gap,effect not matched,nan,
21d90735-5e04-4a8c-a546-ff26d4d5998d,"Invasion of Ikoria // Zilortha, Apex of Ikoria",Battle — Siege // Legendary Creature — Dinosaur,7794,excluded,nan,multi_faced,
08b13e1f-27ca-40a8-b5ed-88ac933d24bf,Archivist of Oghma,Creature — Halfling Cleric,7709,gap,event not matched,nan,
bde94af8-faea-41ff-8eed-ba642eac9968,Phantasmal Image,Creature — Illusion,7598,gap,static pattern unmatched,nan,
1d67f5ff-1fce-45e5-b6a1-416c569351e2,Gitaxian Probe,Sorcery,7545,gap,effect not matched,nan,
cfd60d1f-9832-4408-b84e-0fd3018b015b,Forbidden Orchard,Land,7503,gap,event not matched,nan,
08becc07-28bc-4a2f-a6b0-28a2998d2f50,Windfall,Sorcery,7268,gap,effect not matched,nan,
1869eb1e-7786-4fea-8a92-2bd839de47df,Flesh Duplicate,Creature — Shapeshifter Rebel,7094,gap,static pattern unmatched,nan,
ae7604bb-4818-45a3-960c-cf3d83f15964,"Teferi, Time Raveler",Legendary Planeswalker — Teferi,6901,gap,static pattern unmatched,nan,
dbe792f9-22be-4972-b418-99a6190c4421,Transmute Artifact,Sorcery,6462,excluded,nan,digital,
73864fcc-1bde-4bc0-831e-2b93e546e417,Godless Shrine,Land — Plains Swamp,6370,gap,ETB replacement,nan,
2ffc6372-f63b-4f32-8dd0-2d7938aeb412,Carpet of Flowers,Enchantment,6324,gap,event not matched,nan,
7f06c098-6482-4bf3-a9a1-110d6d5b5703,Gilded Drake,Creature — Drake,6295,gap,effect not matched,nan,
4514777d-0589-4631-978b-ff244167c176,Vexing Bauble,Artifact,6252,gap,event not matched,nan,
c259e16f-2a44-4552-8678-815f757a02e8,Agatha's Soul Cauldron,Legendary Artifact,6179,gap,static pattern unmatched,nan,
339f5334-b65a-445a-a016-20e997e0b4bb,Mistrise Village,Land,6061,gap,effect not matched,nan,
22ba474e-f6e6-450d-a4cf-0739f0b51079,Defense Grid,Artifact,6018,gap,static pattern unmatched,nan,
70dd5013-f18f-4501-882f-70590c424e20,Tataru Taru,Legendary Creature — Dwarf Advisor,5989,gap,effect not matched,nan,
c39e5fb0-6de3-4105-ad3c-0ecb8951a1d5,Misdirection,Instant,5698,gap,ALT_COST,nan,
15e5136e-ed15-49a8-b027-e09436673fb4,Culling Ritual,Sorcery,5655,gap,effect not matched,nan,
52f0dcbd-ccf3-4525-8e55-2d38b4991834,Touch the Spirit Realm,Enchantment,5525,gap,effect not matched,nan,
f434e266-d9d6-4058-96ff-a1bd4029d8dc,Imposter Mech,Artifact — Vehicle,5472,gap,static pattern unmatched,nan,
c733873e-77db-471f-8061-139db24f7e7c,Cephalid Coliseum,Land,5377,gap,effect not matched,nan,
f1c2dbe2-fbe0-4058-bdf1-91d1b1832786,Dauthi Voidwalker,Creature — Dauthi Rogue,5278,gap,replacement (instead),nan,
e0aa6ce0-ca31-433b-ac6c-32b8675cdb71,Spellskite,Artifact Creature — Phyrexian Horror,5091,gap,effect not matched,nan,
0fcd476f-4db8-4293-9388-1678a0043c9e,Grinding Station,Artifact,4999,gap,effect not matched,nan,
92eed395-62ca-4293-882b-8565c40daab5,Sylvan Library,Enchantment,4981,gap,effect not matched,nan,
d4ec0df9-a4a3-48cf-a0aa-b1aea5c49142,Clever Impersonator,Creature — Shapeshifter,4973,gap,static pattern unmatched,nan,
5f627e45-deee-4a4f-8128-57b0d8ebc553,Force of Vigor,Instant,4971,gap,ALT_COST,nan,
c823e687-6311-4c99-974b-fd77d204141a,Timetwister,Sorcery,4840,excluded,nan,digital,
2bace3ea-7d28-4a1c-857a-d3c3a1c11b59,"Wan Shi Tong, Librarian",Legendary Creature — Bird Spirit,4837,gap,effect not matched,nan,
706ae742-1807-44b7-a4fa-f2e26f61519a,Wild Growth,Enchantment — Aura,4802,gap,event not matched,nan,
dd2f698c-b3b4-4dc8-9950-9be03ca7dc9e,Tinder Wall,Creature — Plant Wall,4764,excluded,nan,digital,
4aeafdf3-7828-4114-8c74-3bd46357caec,Tezzeret the Seeker,Legendary Planeswalker — Tezzeret,4667,gap,effect not matched,nan,
6556c4c0-b10d-4208-821b-0c0a49abd188,Wandering Archaic // Explore the Vastlands,Creature — Avatar // Sorcery,4613,excluded,nan,multi_faced,
0c016ccc-a341-4b76-87ba-69c639d2746d,Dragon's Rage Channeler,Creature — Human Shaman,4589,gap,static pattern unmatched,nan,
975ec9a3-6f20-4177-8211-82526e092538,Overgrown Tomb,Land — Swamp Forest,4581,gap,ETB replacement,nan,
b11c250c-f191-4c52-ba02-a9176f163447,Emiel the Blessed,Legendary Creature — Unicorn,4566,gap,effect not matched,nan,
8dd5f5af-d2d8-4356-8617-8381081b930c,"Yavimaya, Cradle of Growth",Legendary Land,4526,gap,static pattern unmatched,nan,
16052b52-ade1-406f-a06b-ce7ea607fb63,Stomping Ground,Land — Mountain Forest,4519,gap,ETB replacement,nan,
79a71fe5-38ce-4bb5-aea0-c9b9a856d397,Mirrormade,Enchantment,4431,gap,static pattern unmatched,nan,
8eb7c0a5-6190-40de-b473-2d1daa3bbe28,Dualcaster Mage,Creature — Human Wizard,4418,gap,effect not matched,nan,
96c2d71e-0fc9-42aa-bc6b-6d0ae3f66f8b,Hexing Squelcher,Creature — Goblin Sorcerer,4413,gap,static pattern unmatched,nan,
f413a83d-a40d-434c-b20a-4c707c0527fa,Temple Garden,Land — Forest Plains,4407,gap,ETB replacement,nan,
13575cf9-65c1-4861-b21e-eb2155e07766,Sensei's Divining Top,Artifact,4325,gap,effect not matched,nan,
aa77980d-0434-40f0-990f-1c8c50610174,Rain of Filth,Instant,4317,gap,effect not matched,nan,
753cb2b2-24ce-484f-a2d0-be6fd2c67ebd,Grafdigger's Cage,Artifact,4315,gap,static pattern unmatched,nan,
da46904c-8fb8-44c2-b2ab-775a1cc12ec3,Dramatic Reversal,Instant,4301,gap,effect not matched,nan,
afa49a09-146f-4439-850e-dd1938c93cef,"Derevi, Empyrial Tactician",Legendary Creature — Bird Wizard,4290,gap,effect not matched,nan,
322f0459-f394-44f0-977b-55fd0cbe0712,Yawgmoth's Will,Sorcery,4258,excluded,nan,digital,
119d719d-e965-45b4-9bc9-ac03211b10c2,Survival of the Fittest,Enchantment,4225,excluded,nan,digital,
ad7d854b-d303-40eb-acd6-03a8023e05e7,Commandeer,Instant,4197,gap,ALT_COST,nan,
4b515bb0-f275-4400-8032-3173b799ab40,Walking Ballista,Artifact Creature — Construct,4026,gap,replacement,nan,
a019e34d-00c4-4687-9d41-fe550bf1dbdc,"Talion, the Kindly Lord",Legendary Creature — Faerie Noble,3999,gap,replacement,nan,
26d3a818-7faf-443a-a6bd-9773edaedf17,Orim's Chant,Instant,3977,gap,effect not matched,nan,
245d0ccf-87b6-460a-8b99-9e2079f2d375,"Delney, Streetwise Lookout",Legendary Creature — Human Scout,3958,gap,static pattern unmatched,nan,
70486bee-6ee7-41ea-b834-8caf4699302b,Daze,Instant,3943,gap,ALT_COST,nan,
995c8dac-fd27-468a-abd4-02372cf0c850,Mount Doom,Legendary Land,3928,gap,effect not matched,nan,
45181cb8-2090-4471-ba90-e5a8f04d525f,Sacred Foundry,Land — Mountain Plains,3907,gap,ETB replacement,nan,
3d867016-2601-4a37-a73d-308898d3bd37,"Thrasios, Triton Hero",Legendary Creature — Merfolk Wizard,3896,gap,UNKNOWN_KEYWORD,nan,
28c1a4a0-f58c-4d07-a918-51ff8a74f050,High Fae Trickster,Creature — Faerie Wizard,3866,gap,static pattern unmatched,nan,
5d998c09-7d89-4265-ada4-6d80cbf56dae,Blind Obedience,Enchantment,3836,gap,static pattern unmatched,nan,
70a6f08e-854d-4e2f-9d8c-c45ec3231157,Faeburrow Elder,Creature — Treefolk Druid,3661,gap,static pattern unmatched,nan,
8de3eabe-9a8f-4865-beef-a4888c081d39,Training Grounds,Enchantment,3636,gap,static pattern unmatched,nan,
debc69ea-372a-4720-838a-16856cd50b07,March of Swirling Mist,Instant,3629,gap,ADDL_COST,nan,
63a19c7c-49d7-4b75-aac8-d0ff36c45fb8,Sowing Mycospawn,Creature — Eldrazi Fungus,3620,gap,event not matched,nan,
e88de17c-086d-4e2a-b5b2-2f9f57ca7c0f,Snapback,Instant,3608,gap,ALT_COST,nan,
6a84eda1-7e72-4b5a-849f-b6e177565aeb,Mirage Mirror,Artifact,3605,gap,effect not matched,nan,
59154c04-6bc5-4b95-af1f-6de5fed05649,Legolas's Quick Reflexes,Instant,3551,gap,effect not matched,nan,
437cfd16-94bc-43ba-afd8-e9e9d028a4ca,Flare of Denial,Instant,3545,gap,ALT_COST,nan,
e31808bb-fb6e-487b-a973-db44961c84ee,The Cabbage Merchant,Legendary Creature — Human Citizen,3528,gap,event not matched,nan,
6225a704-430a-4f56-ad87-0e8d87f285f5,Cursed Totem,Artifact,3470,gap,static pattern unmatched,nan,
80bc56a9-40e0-48da-ae86-190e39c8a4a3,Copy Artifact,Enchantment,3462,excluded,nan,digital,
c45e96cb-2539-4e00-9fff-782a182c2f4b,"Nezahal, Primal Tide",Legendary Creature — Elder Dinosaur,3402,gap,effect not matched,nan,
4a8d41fe-e04d-484b-a7d1-19be311e6ca7,"Sea Gate Restoration // Sea Gate, Reborn",Sorcery // Land,3378,excluded,nan,multi_faced,
4709f11c-aef8-45ac-b2bf-e640c568dfac,Mayhem Devil,Creature — Devil,3278,gap,event not matched,nan,
8a3ad2ef-8bcb-40c0-85de-f03328c2b644,Springheart Nantuko,Enchantment Creature — Insect Monk,3238,gap,effect not matched,nan,
3f8e7a45-4c6e-4ee6-93d0-b7de9715ec97,Lim-Dûl's Vault,Instant,3169,gap,effect not matched,nan,
20347559-95a9-4689-bb79-c5bb3809b719,Elves of Deep Shadow,Creature — Elf Druid,3145,gap,mana side effect,nan,
3620ab8f-b693-4225-bb96-5ca3cb3fa465,Desperate Ritual,Instant — Arcane,3091,gap,effect not matched,nan,
573151f0-00d4-4a8a-8a09-745c5f376532,Hydroelectric Specimen // Hydroelectric Laboratory,Creature — Weird // Land,3071,excluded,nan,multi_faced,
2b0afb89-0944-4861-b9c3-e909e2ac215e,Badgermole Cub,Creature — Badger Mole,2994,gap,effect not matched,nan,
6284ef01-d17d-4584-aecb-1b841ae638e5,Deafening Silence,Enchantment,2974,gap,static pattern unmatched,nan,
9f12bf9a-6e1a-4377-b4af-e8cabd3ee58a,Deserted Temple,Land,2942,gap,effect not matched,nan,
c62b5c22-e058-436f-9575-a01cb2112829,Redirect Lightning,Instant — Lesson,2928,gap,ADDL_COST,nan,
87bc0b1f-49ef-4c06-9049-2c148b467882,Copy Enchantment,Enchantment,2919,gap,static pattern unmatched,nan,
848c2b8f-8086-4047-8ad0-24b701dc4d0d,"Tyvar, Jubilant Brawler",Legendary Planeswalker — Tyvar,2916,gap,static pattern unmatched,nan,
83cf1169-5853-4332-b897-7b17d72d76ab,Twinflame,Sorcery,2907,gap,effect not matched,nan,
8b610f8f-c8dd-4eeb-bc6e-3bc706d5f63e,Nyxbloom Ancient,Enchantment Creature — Elemental,2857,gap,replacement (instead),nan,
a145ff8c-5812-4bcb-bd16-9839dc25121d,Storm-Kiln Artist,Creature — Dwarf Shaman,2777,gap,static pattern unmatched,nan,
c1cbbda0-e02b-4b9c-8669-ea87ca629520,Dress Down,Enchantment,2765,gap,static pattern unmatched,nan,
50aa7aff-1f01-4224-9a83-01f74d703ec2,Earthcraft,Enchantment,2746,gap,effect not matched,nan,
782dcbc4-5a11-42f5-b8d9-4572e36d45b3,Summoner's Pact,Instant,2734,gap,effect not matched,nan,
66ca8a60-e028-4a5f-8177-860b888cb9d1,Angel's Grace,Instant,2701,gap,effect not matched,nan,
257ee9a0-5ee0-49c4-8619-e75e1134d7ac,Oboro Breezecaller,Creature — Moonfolk Wizard,2697,gap,effect not matched,nan,
c0d8fef4-65f4-4769-982d-b397d2b7e977,Animate Dead,Enchantment — Aura,2692,gap,effect not matched,nan,
923d44a9-774d-459c-9cec-1d5b081b51f0,Biomancer's Familiar,Creature — Mutant,2664,gap,static pattern unmatched,nan,
b67db32b-30a9-49d2-b4c2-90a9f80c36eb,Manglehorn,Creature — Beast,2646,gap,static pattern unmatched,nan,
2bd111bb-ce02-414c-b5b7-e0e037d8d96b,Bolas's Citadel,Legendary Artifact,2608,gap,static pattern unmatched,nan,
c7c7bffa-442d-4ba5-b778-ad394c192f27,Candelabra of Tawnos,Artifact,2607,excluded,nan,digital,
eea18c55-8695-4ba1-9b38-3e7638692f5f,Saw in Half,Instant,2593,excluded,nan,set_type,
3640c29b-1534-4952-b297-619ade948431,Roaming Throne,Artifact Creature — Golem,2592,gap,ETB replacement,nan,
08d64b16-9221-4532-890c-d5cdbf181e28,Volatile Stormdrake,Creature — Drake,2547,gap,static pattern unmatched,nan,
4d67e2a7-4aa7-44cc-853b-500d7aac046d,Cursed Mirror,Artifact,2547,gap,ETB replacement,nan,
78301998-fd9b-4cd5-afad-dbcb43cac2a7,"Shatterskull Smashing // Shatterskull, the Hammer Pass",Sorcery // Land,2542,excluded,nan,multi_faced,
f3d48efa-910a-4872-a5b1-a353c5dbce99,Pinnacle Monk // Mystic Peak,Creature — Djinn Monk // Land,2521,excluded,nan,multi_faced,
0eb11b2d-a397-48da-a0f3-9f0f83f42282,"Tezzeret, Cruel Captain",Legendary Planeswalker — Tezzeret,2509,gap,event not matched,nan,
a4280cea-386b-450d-a7e9-29c7aa58ce5a,Amphibian Downpour,Enchantment — Aura,2482,gap,static pattern unmatched,nan,
1d725121-e50c-42f0-9128-56802f07c89e,"Selvala, Heart of the Wilds",Legendary Creature — Elf Scout,2448,gap,event not matched,nan,
7e8c2a18-e404-40ff-a9e0-ec3eeb6d576e,Command Beacon,Land,2419,gap,effect not matched,nan,
360039a5-1cbd-4ee3-8f94-21b5348e106a,Last Chance,Sorcery,2418,gap,effect not matched,nan,
2707f9f4-2b80-47ac-af0a-99fc53af94bf,Retraction Helix,Instant,2368,gap,UNKNOWN_KEYWORD,nan,
567a3fa7-5ca9-4812-b81d-4953c401c83d,Steal Enchantment,Enchantment — Aura,2341,gap,static pattern unmatched,nan,
d9517c5d-66d0-4178-96fb-a8c04f311ad8,Aven Mindcensor,Creature — Bird Wizard,2292,gap,replacement (instead),nan,
699b192c-f3f2-4ac5-9ca9-e35bcf08ad8a,Necromancy,Enchantment,2286,gap,static pattern unmatched,nan,
5d47e820-913f-441a-a6cc-37ab3181d79a,Swift Reconfiguration,Enchantment — Aura,2269,gap,static pattern unmatched,nan,
ea9c459a-6047-43aa-968f-a582be4000e8,"Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun",Legendary Enchantment // Legendary Land,2264,excluded,nan,multi_faced,
025939a0-424a-41bf-8fc9-2ef9ea5485f7,Fire Covenant,Instant,2255,gap,effect not matched,nan,
0c4bc9ea-a5fd-4f44-96a1-5448eee228c4,Collector Ouphe,Creature — Ouphe,2226,gap,static pattern unmatched,nan,
088dfd02-c0e0-41d1-9923-efe023fb2ad1,Counterbalance,Enchantment,2223,gap,effect not matched,nan,
