oracle_id,name,type_line,appearances,status,gap_category,exclusion_reason,error
b473e293-59e3-4e04-acf2-622604aeb25f,Path of Ancestry,Land,77,gap,mana side effect,nan,
58257464-278e-45fa-8e0b-bcd9a7500bc1,Ash Barrens,Land,47,gap,static pattern unmatched,nan,
07a0cba9-8768-4fd9-a3d5-b0f83b4bf8e8,Chaos Warp,Instant,29,gap,effect not matched,nan,
189fc8f4-17ac-4f1d-82c8-8401445bdaf4,Azorius Chancery,Land,22,gap,effect not matched,nan,
aa6723a2-75da-49f5-a1ba-cbfa82c55301,Opal Palace,Land,21,gap,mana side effect,nan,
458d2b12-f578-4392-98d3-c3bc83f316c4,Port Town,Land,20,gap,ETB replacement,nan,
1b301478-b14f-4ef8-94e6-9647d582eabe,Golgari Rot Farm,Land,19,gap,effect not matched,nan,
8fa3ac81-3dfe-4565-be99-5554f7597b4b,Boros Garrison,Land,18,gap,effect not matched,nan,
aa00ae0b-7c0f-427e-8102-ce0e2a6af5df,Orzhov Basilica,Land,17,gap,effect not matched,nan,
7cb9e29f-835f-4155-a2a5-4b778866c773,Mosswort Bridge,Land,17,gap,static pattern unmatched,nan,
56f1a16a-9f41-41fb-b580-c200bca27cd6,Fortified Village,Land,17,gap,ETB replacement,nan,
7eadffcb-1e15-44c1-b1db-78c71b8ec1ce,Rupture Spire,Land,17,gap,effect not matched,nan,
046f5783-cc7b-416a-8cf6-2bcef9c2cc1a,Simic Growth Chamber,Land,17,gap,effect not matched,nan,
0a79237e-0811-4a8a-bd4d-db3ca91bff22,Everflowing Chalice,Artifact,16,gap,static pattern unmatched,nan,
0a023964-2905-4928-9c3e-dc63e6ebd218,Rakdos Carnarium,Land,16,gap,effect not matched,nan,
378a1d57-e2f1-4b84-9692-1564602e9e99,Dimir Aqueduct,Land,16,gap,effect not matched,nan,
1cb9d94a-3039-4f2e-8fcc-6996f9a45f74,Izzet Boilerworks,Land,16,gap,effect not matched,nan,
d473b507-8c33-4118-bc10-b0a268776074,Choked Estuary,Land,15,gap,ETB replacement,nan,
00de57d2-7cb6-4337-9bc6-f6711e4dfabf,Game Trail,Land,15,gap,ETB replacement,nan,
651dea9c-2375-4e44-8e65-ba8e40f0c0ef,Furycalm Snarl,Land,15,gap,ETB replacement,nan,
00ef1c55-dea1-4564-bd57-66de86cba4df,Selesnya Sanctuary,Land,14,gap,effect not matched,nan,
5c87e2fa-77f1-4978-b25f-f14d227301d1,Foreboding Ruins,Land,14,gap,ETB replacement,nan,
705509e9-a034-4a5a-9c65-66f58748b8a2,Harrow,Instant,13,gap,ADDL_COST,nan,
086b2564-9114-4ba2-94fd-b490f98f38a7,Chain Reaction,Sorcery,13,gap,effect not matched,nan,
584b15f2-6ae9-413a-8b8d-9244dbea4878,Unclaimed Territory,Land,13,gap,ETB replacement,nan,
c53ba31a-ba27-4e17-9a92-311acb1cab29,Myr Battlesphere,Artifact Creature — Myr Construct,13,gap,effect not matched,nan,
b8f566ea-8283-4afa-9ac8-737e26419283,Explore,Sorcery,13,gap,effect not matched,nan,
7137aae6-260d-41de-8b4e-42a8cf752697,Frostboil Snarl,Land,12,gap,ETB replacement,nan,
33f52df8-4b44-4422-8b0a-37fead9c894b,Vineglimmer Snarl,Land,12,gap,ETB replacement,nan,
7ffae8f8-3006-4969-a339-6d30678f87ea,Night's Whisper,Sorcery,12,gap,effect not matched,nan,
657243dd-e479-4f4b-99d2-09b55d833a35,Gruul Turf,Land,12,gap,effect not matched,nan,
437b2dab-15e0-4b9a-a204-58622d37a3b3,Fact or Fiction,Instant,12,gap,effect not matched,nan,
2ef75cf3-30dc-4852-a6d1-1d6391fad022,Forgotten Ancient,Creature — Elemental,11,gap,event not matched,nan,
abc37d6c-6300-47b5-a679-9db5b83eb54f,Syphon Mind,Sorcery,11,gap,effect not matched,nan,
a85197ab-dc94-4b72-9716-8dbdbbe90ff8,Butcher of Malakir,Creature — Vampire Warrior,11,gap,event not matched,nan,
eaabd151-2160-4bff-82c0-3fa88659be98,Anger,Creature — Incarnation,10,gap,static pattern unmatched,nan,
c9fc13d6-bd10-47bc-b2b6-7f67a1f3371e,Shineshadow Snarl,Land,10,gap,ETB replacement,nan,
579cbd92-797f-4cdf-91ed-fca7a523eae5,Deep Analysis,Sorcery,10,gap,effect not matched,nan,
6e64f1e0-ddd6-4ee7-8797-086e234b02e8,Steel Hellkite,Artifact Creature — Dragon,10,gap,effect not matched,nan,
eb735501-19e7-4910-aa6a-6667fff6f4e5,Study Hall,Land,10,gap,mana side effect,nan,
3bc13640-03f8-4b19-b0a4-7e7cb5271c0c,Hour of Reckoning,Sorcery,10,gap,effect not matched,nan,
84de4fec-2f38-4293-93d3-b3882c5aac14,Ambition's Cost,Sorcery,10,gap,effect not matched,nan,
98492d7d-3b9e-4ae1-ac45-1b508d6d2670,Coveted Jewel,Artifact,9,gap,event not matched,nan,
93953926-a644-49bb-9b5a-4c8f19114c7e,Demolition Field,Land,9,gap,effect not matched,nan,
3644f316-f9a3-46c9-9b1e-747f86cf4ead,Buried Ruin,Land,9,gap,effect not matched,nan,
717bbb9d-0a5b-4979-a24b-9d54aac7657a,Shriekmaw,Creature — Elemental,9,gap,effect not matched,nan,
d1d171de-1c6d-4fb9-817a-9c689c709f3d,Shamanic Revelation,Sorcery,9,gap,effect not matched,nan,
4ba5b3f6-503b-43e6-b66e-4f8c55cffed7,Avenger of Zendikar,Creature — Elemental,9,gap,effect not matched,nan,
5669ea7c-c4fc-494c-896b-4bce9b494817,Curse of the Swine,Sorcery,9,gap,effect not matched,nan,
14878a5f-7983-4133-a1a7-9d539531e092,Angel of the Ruins,Artifact Creature — Angel,9,gap,effect not matched,nan,
a1f3da21-af6d-450e-bf0b-985d158418e6,Hardened Scales,Enchantment,9,gap,replacement (instead),nan,
1fbb2a7c-8093-4729-b8fe-cf032d99470f,Fell the Mighty,Sorcery,9,gap,effect not matched,nan,
2b76f9e9-cd28-4eaf-8674-215c34263f96,Return of the Wildspeaker,Instant,9,gap,effect not matched,nan,
c02c5547-b9c9-4b2d-9d12-e87bfba8f2d2,Herald's Horn,Artifact,9,gap,ETB replacement,nan,
19409704-09c4-4a4b-a5a7-f95120b425db,Artisan of Kozilek,Creature — Eldrazi,8,gap,event not matched,nan,
3589bcfc-42b0-414a-adce-bc690dc631c8,Windbrisk Heights,Land,8,gap,static pattern unmatched,nan,
4b1bf05e-753e-4350-a913-894cf3cecc0c,Fleshbag Marauder,Creature — Zombie Warrior,8,gap,effect not matched,nan,
aae76e5c-f5e0-4d18-b465-e6a829be908a,Shiny Impetus,Enchantment — Aura,8,gap,effect not matched,nan,
240e85d3-e495-4877-8609-4b4056c402f7,Victimize,Sorcery,8,gap,CHOICE block needed,nan,
ac6c5852-71c7-4f19-8c87-ccb345052862,Distant Melody,Sorcery,8,gap,effect not matched,nan,
79ba18fd-f184-43c1-86df-56ee18ce806c,Secluded Courtyard,Land,8,gap,ETB replacement,nan,
7c779721-cd1b-4696-9ae9-68ccc284ed2a,Aetherize,Instant,8,gap,effect not matched,nan,
322f44f0-e6da-4ee0-b474-e7d5e9a461c5,Morbid Opportunist,Creature — Human Rogue,8,gap,event not matched,nan,
a89ebf63-63c9-42cd-98b4-ec852cd9b0a8,Grisly Salvage,Instant,8,gap,effect not matched,nan,
1e7bddbd-e448-4aea-9d18-b44bd45837c5,Vow of Duty,Enchantment — Aura,8,gap,UNKNOWN_KEYWORD,nan,
2b7c4dab-e432-4b34-b058-3cec5c0d72df,Martial Coup,Sorcery,8,gap,effect not matched,nan,
