source,name_a,name_b,note,canonical_a,canonical_b
substitutes_contrast,Rampant Growth,Three Visits,1cmc_ramp,"CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{AND{TYPE: ""Basic"";TYPE: ""Land""}}};AS $0;MOVE{$0;TO: BATTLEFIELD;STATE: TAPPED}}}}","CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Forest""}};AS $0;MOVE{$0;TO: BATTLEFIELD}}}}"
substitutes_contrast,Farseek,Nature's Lore,2cmc_ramp,"CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE:{""Plains"";""Island"";""Swamp"";""Mountain""}}};AS $0;MOVE{$0;TO: BATTLEFIELD;STATE: TAPPED}}}}","CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Forest""}};AS $0;MOVE{$0;TO: BATTLEFIELD}}}}"
substitutes_contrast,Skyshroud Claim,Explosive Vegetation,4cmc_ramp,"CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;COUNT: RANGE 0..2;FILTER{TYPE: ""Forest""}};AS $0;MOVE{$0;TO: BATTLEFIELD}}}}","CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;COUNT: RANGE 0..2;FILTER{AND{TYPE: ""Basic"";TYPE: ""Land""}}};AS $0;MOVE{$0;TO: BATTLEFIELD;STATE: TAPPED}}}}"
substitutes_contrast,Harrow,Explosive Vegetation,land_ramp,"CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;COUNT: RANGE 0..2;FILTER{AND{TYPE: ""Basic"";TYPE: ""Land""}}};AS $0;MOVE{$0;TO: BATTLEFIELD}}}}","CARD{SPELL{EFFECT:{SEARCH{ZONE: YOU.library;COUNT: RANGE 0..2;FILTER{AND{TYPE: ""Basic"";TYPE: ""Land""}}};AS $0;MOVE{$0;TO: BATTLEFIELD;STATE: TAPPED}}}}"
substitutes_contrast,Birds of Paradise,Llanowar Elves,1cmc_dork,CARD{@FLYING;MANA_ABILITY{COST: TAP;ADD_MANA:{ANY}}},"CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{""{G}""}}}"
substitutes_contrast,Sakura-Tribe Elder,Wood Elves,etb_ramp,"CARD{ACTIVATED{COST{SACRIFICE: SELF};EFFECT:{SEARCH{ZONE: YOU.library;FILTER{AND{TYPE: ""Basic"";TYPE: ""Land""}}};AS $0;MOVE{$0;TO: BATTLEFIELD;STATE: TAPPED}}}}","CARD{TRIGGERED{@WHEN_ETB{FILTER{SELF}};EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Forest""}};AS $0;MOVE{$0;TO: BATTLEFIELD}}}}"
substitutes_contrast,Solemn Simulacrum,Wood Elves,etb_ramp,"CARD{TRIGGERED{@WHEN_ETB{FILTER{SELF}};EFFECT:{SEARCH{ZONE: YOU.library;FILTER{AND{TYPE: ""Basic"";TYPE: ""Land""}};MAY: TRUE};AS $0;MOVE{$0;TO: BATTLEFIELD;STATE: TAPPED}}};TRIGGERED{WHEN_DIES{FILTER{SELF}};EFFECT:{DRAW{PLAYER: YOU;COUNT: 1;MAY: TRUE}}}}","CARD{TRIGGERED{@WHEN_ETB{FILTER{SELF}};EFFECT:{SEARCH{ZONE: YOU.library;FILTER{TYPE: ""Forest""}};AS $0;MOVE{$0;TO: BATTLEFIELD}}}}"
substitutes_contrast,Sol Ring,Arcane Signet,early_mana,"CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{""{C}{C}""}}}","CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY;SCOPE: ""your commander's color identity""}}}"
substitutes_contrast,Arcane Signet,Fellwar Stone,2cmc_rock,"CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY;SCOPE: ""your commander's color identity""}}}",CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY_OF OPPONENT.lands.producible_colors}}}
substitutes_contrast,Mind Stone,Fellwar Stone,2cmc_rock,"CARD{ACTIVATED{COST{MANA: ""{1}"";TAP: SELF;SACRIFICE: SELF};EFFECT:{DRAW{PLAYER: YOU;COUNT: 1}}};MANA_ABILITY{COST: TAP;ADD_MANA:{""{C}""}}}",CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{ANY_OF OPPONENT.lands.producible_colors}}}
substitutes_contrast,Thought Vessel,Mind Stone,2cmc_rock,"CARD{MANA_ABILITY{COST: TAP;ADD_MANA:{""{C}""}};STATIC{EFFECT:{MAX_HAND_SIZE{PLAYER: YOU;VALUE: NONE}}}}","CARD{ACTIVATED{COST{MANA: ""{1}"";TAP: SELF;SACRIFICE: SELF};EFFECT:{DRAW{PLAYER: YOU;COUNT: 1}}};MANA_ABILITY{COST: TAP;ADD_MANA:{""{C}""}}}"
substitutes_contrast,Commander's Sphere,Chromatic Lantern,3cmc_rock,"CARD{ACTIVATED{COST{SACRIFICE: SELF};EFFECT:{DRAW{PLAYER: YOU;COUNT: 1}}};MANA_ABILITY{COST: TAP;ADD_MANA:{ANY;SCOPE: ""your commander's color identity""}}}",CARD{MANA_ABILITY{COST: #;COST_UNKNOWN: Lands you control have{T};ADD_MANA:{ANY}};MANA_ABILITY{COST: TAP;ADD_MANA:{ANY}}}
